# Created by Octave 3.8.1, Tue Mar 07 17:05:35 2017 CET <moi@Nemesis>
# name: relation
# type: complex matrix
# rows: 301
# columns: 7
 (413.3333333333333,0) (0.01638737404474195,0.0005439030011495713) (0.01987896202822818,0.0005213910130915628) (0.0249308356222153,0.0004448378468918612) (0.0267043086038765,0.000421654509160253) (0.02983955151731799,0.0003858270945808677) (0.03026441547286126,0.0003814323634508945)
 (414.6666666666667,0) (0.01623623824814601,0.0005391409681183293) (0.01974079127749458,0.0005206942337316356) (0.02481513101003714,0.0004438402079962317) (0.02659508255480177,0.0004205570422587189) (0.0301662599859041,0.0003802135036268046) (0.03030711938194213,0.0003787798171725107)
 (416,0) (0.01608625461346614,0.0005338036114963403) (0.02244273233888047,0.0004756084205904486) (0.02470004215100671,0.0004428506330665686) (0.02648648256196021,0.0004194674154071827) (0.0300687315537684,0.0003790024677639297) (0.03006873155376839,0.0003790024677639269)
 (417.3333333333333,0) (0.01946611216781995,0.0005192964736148282) (0.0223189616621887,0.0004747893421189779) (0.02458556295299041,0.0004418690447313026) (0.02637850258749824,0.0004183855535330068) (0.02999352623725504,0.0004660939521449481) (0.02997182416937965,0.0003777991808046821)
 (418.6666666666667,0) (0.01932959415252137,0.0005185937825197904) (0.02219576951256761,0.0004739781258955997) (0.02447168740063918,0.0004408953664335538) (0.02627113667014451,0.0004173113825032842) (0.02987553190218241,0.0003766035686477671) (0.03001756091650959,0.0003751609017218194)
 (420,0) (0.01919361771841331,0.0005178873187452438) (0.02207314988256677,0.0004731746573801242) (0.02435840955418654,0.0004399295224117855) (0.02616437892399471,0.0004162448291093664) (0.02992226707233032,0.0003739699147322286) (0.02977984889692549,0.0003754155581330384)
 (421.3333333333333,0) (0.01905817853704707,0.0005171760826566198) (0.02195109684391767,0.0004723788208474057) (0.02424572354827218,0.0004389714376804354) (0.02605822353732308,0.0004151858210516821) (0.02982757635374698,0.000372786465634968) (0.02968476937247055,0.0003742350770265179)
 (422.6666666666667,0) (0.01892327249420054,0.0005164590080435498) (0.02182960454663832,0.0004715904992756137) (0.02413362359078738,0.000438021038010801) (0.02595266477141288,0.0004141342869248222) (0.02959028762062364,0.0003730620540059259) (0.02973348305294645,0.0003716104830935331)
 (424,0) (0.01878889569902011,0.0005157349565014962) (0.02170866721817507,0.0004708095742293081) (0.02402210396174351,0.0004370782499119797) (0.02584769695941068,0.0004130901562029338) (0.0296399815339121,0.0003704418966687132) (0.02949639800498687,0.0003718964186462115)
 (425.3333333333333,0) (0.01865504449401251,0.0005150027112621587) (0.02158827916257944,0.0004700359257380785) (0.02391115901216148,0.0004361430006119446) (0.02574331450520249,0.0004120533592252657) (0.0295470662312979,0.0003692806368045466) (0.02940309495983483,0.0003707381014055637)
 (426.6666666666667,0) (0.0185217154659695,0.0005142609704101493) (0.02146843475971959,0.000469269432169459) (0.02380078316298502,0.0004352152180388432) (0.02563951188231054,0.0004110238271821122) (0.02931037298900889,0.0003695870336115997) (0.02945473164932507,0.0003681266348145337)
 (428,0) (0.01838890545790407,0.0005135083394127832) (0.02134912846452934,0.000468509970096721) (0.0236909709040131,0.0004342948308021022) (0.02553628363280981,0.0004100014921009215) (0.02936297236069797,0.00036697982286807) (0.02921822666483488,0.0003684431474478052)
 (429.3333333333333,0) (0.01825661158210081,0.0005127433228801983) (0.02123035480629083,0.0004677574141606707) (0.02358171679285408,0.000433381768173973) (0.02543362436626736,0.0004089862868327147) (0.02927178300554059,0.0003658401339771738) (0.0291266506270584,0.0003673063759402317)
 (430.6666666666667,0) (0.01812483123437867,0.0005119643154624395) (0.0211121083879564,0.0004670116369249541) (0.02347301545390018,0.0004324759600709448) (0.02533152875869813,0.0004079781450385679) (0.0290356395818021,0.000366176652944522) (0.02918115829035315,0.0003647075019834355)
 (432,0) (0.0179935621096884,0.0005111695917748122) (0.02099438388550578,0.0004662725087249892) (0.02336486157732132,0.0004315773370352208) (0.0266747738434521,0.0003896079894987993) (0.02909109298698771,0.0003635818615452187) (0.02894518830054111,0.0003650539131330224)
